class_object_number,class_name,cg_numbers
1642,Agave-Chipotle Glazed Wings,64
1608,Bacon Chipotle Chicken Sandwich,14
1611,Breakfast Chilaquiles,"17,18"
1612,Breakfast Flautas,18
1613,Breakfast Quesadilla,"18,19"
1604,Breakfast Tacos,"9,10,13,18,19"
1634,Caesar Salad,57
1609,Carnitas Hash & Eggs,15
1624,Chicken Fajita Quesadilla,40
1632,Chopped Salad,55
1615,Chorizo Breakfast Burrito,16
1644,Dessert Coffee,66
1641,Dry Rub Premio Wings,63
1614,El Grande Breakfast Burger,20
1626,El Gringo Burger,"20,44"
1602,Fajita Peppers & Onion Omelette,7
1629,Grilled Steak Sandwich,47
1607,Huevos Rancheros,8
1618,Kids Choice of Drink,26
1630,Loaded Papas Fritas,50
1631,Nachos Grandes,52
1623,Quesadilla,38
1639,Queso Completo,61
1621,Short Rib Tacos,34
1633,Shrimp & Avocado Salad,56
1625,Shrimp & Bacon Quesadilla,42
1628,Smothered Chicken Burrito,46
1605,Tex-Mex Breakfast Tacos,"9,10,18"
1627,Tex-Mex Burger,45
1643,Yogurt Parfait,65
